context: I've finally gotten rid of that father and son. response:	I'll find a place to sleep on the north bank tonight.
context: - Honored Lady Chen? - Yes.\Your Majesty has not called upon her much.\She is quite pitiful to have suffered through an illness.\- It'll be her tonight. - Yes.\Make preparations, Your Ladyship.\You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship. response:	Did... Did he just say I will be attending to His Majesty tonight?
context: Your Majesty has not called upon her much.\She is quite pitiful to have suffered through an illness.\- It'll be her tonight. - Yes.\Make preparations, Your Ladyship.\You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight? response:	Yes, Your Ladyship.
context: She is quite pitiful to have suffered through an illness.\- It'll be her tonight. - Yes.\Make preparations, Your Ladyship.\You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship. response:	His Majesty will finally lie with you.
context: - It'll be her tonight. - Yes.\Make preparations, Your Ladyship.\You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you. response:	When I was an immortal, repaying his kindness was always on my mind
context: Make preparations, Your Ladyship.\You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind response:	but I did not know how I was going to do so.
context: You'll be attending to His Majesty tonight.\Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so. response:	Now I have to lie with him right after I've come to the mortal realm.
context: Attending to His Majesty?\Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm. response:	I'm truly startled.
context: Congratulations, Your Ladyship.\Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled. response:	I was trembling with fear that night, waiting for the eunuch to pick me up.
context: Did... Did he just say I will be attending to His Majesty tonight?\Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up. response:	I'd never imagined the day would come...
context: Yes, Your Ladyship.\His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come... response:	Greetings to Virtuous Consort and Worthy Consort.
context: His Majesty will finally lie with you.\When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort. response:	I heard that after you started recovering from an illness
context: When I was an immortal, repaying his kindness was always on my mind\but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness response:	a plumed cockscomb flower appeared on your forehead.
context: but I did not know how I was going to do so.\Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead. response:	I've invited Spiritual Master of Jade Purity
context: Now I have to lie with him right after I've come to the mortal realm.\I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity response:	to make a judgment on this flower.
context: I'm truly startled.\I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower. response:	Master, you say this flower on my forehead is a demonic flower?
context: I was trembling with fear that night, waiting for the eunuch to pick me up.\I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower? response:	That's right. It is clearly a demonic flower!
context: I'd never imagined the day would come...\Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower! response:	Guards, confine Honored Lady Chen in her room.
context: Greetings to Virtuous Consort and Worthy Consort.\I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room. response:	She is not to step foot out of Handan Quarters without my permission.
context: I heard that after you started recovering from an illness\a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission. response:	It is a demonic flower?
context: a plumed cockscomb flower appeared on your forehead.\I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower? response:	Then let the matter rest.
context: I've invited Spiritual Master of Jade Purity\to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest. response:	Is Your Majesty not going to issue an order to send her out of the palace?
context: to make a judgment on this flower.\Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace? response:	I do not believe what some Spiritual Master says.
context: Master, you say this flower on my forehead is a demonic flower?\That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says. response:	I only find it troublesome.
context: That's right. It is clearly a demonic flower!\Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome. response:	I just won't call upon her from now on.
context: Guards, confine Honored Lady Chen in her room.\She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on. response:	Step out.
context: She is not to step foot out of Handan Quarters without my permission.\It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on.\Step out. response:	Yes.
context: It is a demonic flower?\Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on.\Step out.\Yes. response:	She's been let off lightly.
context: Then let the matter rest.\Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on.\Step out.\Yes.\She's been let off lightly. response:	That lying, deceitful Spiritual Master.
context: Is Your Majesty not going to issue an order to send her out of the palace?\I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on.\Step out.\Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master. response:	He says the flower on my forehead as an immortal is a demonic flower?
context: I do not believe what some Spiritual Master says.\I only find it troublesome.\I just won't call upon her from now on.\Step out.\Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower? response:	How ludicrous.
context: I only find it troublesome.\I just won't call upon her from now on.\Step out.\Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous. response:	I've already been locked in for seven days.
context: I just won't call upon her from now on.\Step out.\Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days. response:	Don't tell me I won't be able to see Dijun in my entire lifetime.
context: Step out.\Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime. response:	Why don't I enter Dijun's dream and ask him what his wish is in this life?
context: Yes.\She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life? response:	This way, I'll get an idea of how to repay him.
context: She's been let off lightly.\That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him. response:	Dijun, I am sorry for this.
context: That lying, deceitful Spiritual Master.\He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this. response:	I came this time because I wholeheartedly want to repay your kindness.
context: He says the flower on my forehead as an immortal is a demonic flower?\How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness. response:	I hope you will tell me what it is you truly want.
context: How ludicrous.\I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want. response:	I will spare no effort to fulfill your wish.
context: I've already been locked in for seven days.\Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish. response:	Do you have any wishes in this lifetime?
context: Don't tell me I won't be able to see Dijun in my entire lifetime.\Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime? response:	Who is speaking?
context: Why don't I enter Dijun's dream and ask him what his wish is in this life?\This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking? response:	I am an immortal of the Nine Heavens.
context: This way, I'll get an idea of how to repay him.\Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens. response:	I was passing by and saw you were in a dream.
context: Dijun, I am sorry for this.\I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream. response:	I'd like to ask why you are wearing such an expression.
context: I came this time because I wholeheartedly want to repay your kindness.\I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression. response:	Is there a wish you cannot fulfill
context: I hope you will tell me what it is you truly want.\I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill response:	or an infatuation you cannot attain?
context: I will spare no effort to fulfill your wish.\Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain? response:	A wish?
context: Do you have any wishes in this lifetime?\Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish? response:	I do not want riches, honor, or the world.
context: Who is speaking?\I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world. response:	I merely seek to have the heart of one.
context: I am an immortal of the Nine Heavens.\I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one. response:	Can you give that to me, Immortal?
context: I was passing by and saw you were in a dream.\I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal? response:	It is such a simple wish.
context: I'd like to ask why you are wearing such an expression.\Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish. response:	Could it be that even an immortal cannot grant it?
context: Is there a wish you cannot fulfill\or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it? response:	Is... what you said true?
context: or an infatuation you cannot attain?\A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true? response:	You truly want a sincere heart, wholeheartedly devoted to you?
context: A wish?\I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you? response:	I am a ruler. Naturally, I will not lie.
context: I do not want riches, honor, or the world.\I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie. response:	All right, I give you my promise.
context: I merely seek to have the heart of one.\Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise. response:	Isn't Dijun... an immortal made out of rock?
context: Can you give that to me, Immortal?\It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock? response:	Why would he have worldly desires?
context: It is such a simple wish.\Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires? response:	She has already done many shameful things for Dong Hua's sake.
context: Could it be that even an immortal cannot grant it?\Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake. response:	When she returned to my manor 300 years ago
context: Is... what you said true?\You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago response:	I had to hang her up and spank her twice for her to become well-behaved.
context: You truly want a sincere heart, wholeheartedly devoted to you?\I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved. response:	If she is at your residence, then keep a good eye on her.
context: I am a ruler. Naturally, I will not lie.\All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her. response:	A day in heaven is a day in the mortal realm.
context: All right, I give you my promise.\Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm. response:	Xiao Jiu will be back in two months at most.
context: Isn't Dijun... an immortal made out of rock?\Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most. response:	Second Brother probably will not notice.
context: Why would he have worldly desires?\She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice. response:	Xiao Jiu, Xiao Jiu... Hurry back soon.
context: She has already done many shameful things for Dong Hua's sake.\When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon. response:	Otherwise, even I won't be able to save you this time.
context: When she returned to my manor 300 years ago\I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time. response:	Aunt.
context: I had to hang her up and spank her twice for her to become well-behaved.\If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt. response:	Aunt, you're back. How come Princess Feng Jiu isn't here?
context: If she is at your residence, then keep a good eye on her.\A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here? response:	It used to be the Little Princess who picked fruits for Aunt.
context: A day in heaven is a day in the mortal realm.\Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt. response:	She'll be back soon.
context: Xiao Jiu will be back in two months at most.\Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon. response:	Aunt!
context: Second Brother probably will not notice.\Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt! response:	My mother is so young and beautiful.
context: Xiao Jiu, Xiao Jiu... Hurry back soon.\Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt!\My mother is so young and beautiful. response:	Why do you have to make her sound so old?
context: Otherwise, even I won't be able to save you this time.\Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old? response:	When did you pick up a young child, Aunt?
context: Aunt.\Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt? response:	Just yesterday.
context: Aunt, you're back. How come Princess Feng Jiu isn't here?\It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday. response:	So it is Aunt's young prince.
context: It used to be the Little Princess who picked fruits for Aunt.\She'll be back soon.\Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince. response:	There are many fun and tasty things in the Mushroom Market.
context: She'll be back soon.\Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market. response:	Would Your Highness like any?
context: Aunt!\My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any? response:	Mother, I want this one.
context: My mother is so young and beautiful.\Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one. response:	Take it.
context: Why do you have to make her sound so old?\When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one.\Take it. response:	Aunt.
context: When did you pick up a young child, Aunt?\Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one.\Take it.\Aunt. response:	There's been an excellent harvest. Why do you still look so miserable?
context: Just yesterday.\So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one.\Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable? response:	It's because it's a big harvest that I'm unhappy.
context: So it is Aunt's young prince.\There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one.\Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy. response:	I'll have to sell at low prices now.
context: There are many fun and tasty things in the Mushroom Market.\Would Your Highness like any?\Mother, I want this one.\Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now. response:	There was a small harvest last year. You all earned a lot.
context: Would Your Highness like any?\Mother, I want this one.\Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot. response:	The fruit looks pretty good.
context: Mother, I want this one.\Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good. response:	You learned to pick fruit from Xiao Jiu herself. You pick.
context: Take it.\Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick. response:	Then let's have half a basket from here.
context: Aunt.\There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here. response:	Lord Ye Hua, youre back.
context: There's been an excellent harvest. Why do you still look so miserable?\It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back. response:	Good timing. We're eating loquats for lunch today. Would you like to join us?
context: It's because it's a big harvest that I'm unhappy.\I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us? response:	A-Li is growing right now. This is all you're feeding him?
context: I'll have to sell at low prices now.\There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him? response:	Do you like to eat these?
context: There was a small harvest last year. You all earned a lot.\The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these? response:	Yes.
context: The fruit looks pretty good.\You learned to pick fruit from Xiao Jiu herself. You pick.\Then let's have half a basket from here.\Lord Ye Hua, youre back.\Good timing. We're eating loquats for lunch today. Would you like to join us?\A-Li is growing right now. This is all you're feeding him?\Do you like to eat these?\Yes. response:	Where can we find meat and produce?
