context: It's time for the ever-popular segment... response:	Let's start with the first postcard.
context: Running away by myself? No way.\It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own! response:	Why, you...
context: It's always more fun when we're together!\I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own!\Why, you... response:	Dodge him, Lucy!
context: I'm cold-hearted.\I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own!\Why, you...\Dodge him, Lucy! response:	You're bending my body too much!
context: I'll crush that cute little face of yours flat.\Lucy!\I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own!\Why, you...\Dodge him, Lucy!\You're bending my body too much! response:	Able to move her body freely, without restraint!
context: Lucy!\I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own!\Why, you...\Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint! response:	Ultimate Lucy is on the scene!
context: I'm awkward, you see.\I'll do this right at once.\M-My body's moving on its own!\Why, you...\Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene! response:	Natsu, please keep my joints in mind,'kay?
context: I'll do this right at once.\M-My body's moving on its own!\Why, you...\Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay? response:	What's this?
context: M-My body's moving on its own!\Why, you...\Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this? response:	This... might actually work!
context: Why, you...\Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work! response:	I just had an even better idea!
context: Dodge him, Lucy!\You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work!\I just had an even better idea! response:	Iron Fist... of the Fire Dragon!
context: You're bending my body too much!\Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon! response:	No way!
context: Able to move her body freely, without restraint!\Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way! response:	Don't worry! It's not hot for the person using it!
context: Ultimate Lucy is on the scene!\Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it! response:	I think!
context: Natsu, please keep my joints in mind,'kay?\What's this?\This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it!\I think! response:	I think, he says!
context: What's this?\This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it!\I think!\I think, he says! response:	Happy!
context: This... might actually work!\I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it!\I think!\I think, he says!\Happy! response:	Aye, sir!
context: I just had an even better idea!\Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it!\I think!\I think, he says!\Happy!\Aye, sir! response:	What are you planning?
context: Iron Fist... of the Fire Dragon!\No way!\Don't worry! It's not hot for the person using it!\I think!\I think, he says!\Happy!\Aye, sir!\What are you planning? response:	Max speed!
context: No way!\Don't worry! It's not hot for the person using it!\I think!\I think, he says!\Happy!\Aye, sir!\What are you planning?\Max speed! response:	Aye!
context: Don't worry! It's not hot for the person using it!\I think!\I think, he says!\Happy!\Aye, sir!\What are you planning?\Max speed!\Aye! response:	I'm gonna die here!
context: I think!\I think, he says!\Happy!\Aye, sir!\What are you planning?\Max speed!\Aye!\I'm gonna die here! response:	Max speed!
context: I think, he says!\Happy!\Aye, sir!\What are you planning?\Max speed!\Aye!\I'm gonna die here!\Max speed! response:	What is that?
context: Happy!\Aye, sir!\What are you planning?\Max speed!\Aye!\I'm gonna die here!\Max speed!\What is that? response:	Um, is there a reason my entire body is on fire now?!
context: Aye, sir!\What are you planning?\Max speed!\Aye!\I'm gonna die here!\Max speed!\What is that?\Um, is there a reason my entire body is on fire now?! response:	Lucy Fire!
context: What are you planning?\Max speed!\Aye!\I'm gonna die here!\Max speed!\What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire! response:	By combining Natsu's fire powers with Happy's speed,
context: Max speed!\Aye!\I'm gonna die here!\Max speed!\What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed, response:	through Mr. Cursey, Lucy became a flaming ball of magic power,
context: Aye!\I'm gonna die here!\Max speed!\What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power, response:	which landed a direct hit on Kain Hikaru.
context: I'm gonna die here!\Max speed!\What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru. response:	We did it!
context: Max speed!\What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it! response:	Aye, sir!
context: What is that?\Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir! response:	We won!
context: Um, is there a reason my entire body is on fire now?!\Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir!\We won! response:	At times like this...
context: Lucy Fire!\By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir!\We won!\At times like this... response:	Do a victory pose!
context: By combining Natsu's fire powers with Happy's speed,\through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir!\We won!\At times like this...\Do a victory pose! response:	Yay!
context: through Mr. Cursey, Lucy became a flaming ball of magic power,\which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir!\We won!\At times like this...\Do a victory pose!\Yay! response:	Please, no more...
context: which landed a direct hit on Kain Hikaru.\We did it!\Aye, sir!\We won!\At times like this...\Do a victory pose!\Yay!\Please, no more... response:	Natsu, I'm through... I can't move any more.
context: We did it!\Aye, sir!\We won!\At times like this...\Do a victory pose!\Yay!\Please, no more...\Natsu, I'm through... I can't move any more. response:	Suck it up, Happy!
context: Aye, sir!\We won!\At times like this...\Do a victory pose!\Yay!\Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy! response:	You're gonna retire before doing anything the slightest bit productive? That's so lame.
context: We won!\At times like this...\Do a victory pose!\Yay!\Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame. response:	You just have a knack for drilling a hole right into the heart, you know that?
context: At times like this...\Do a victory pose!\Yay!\Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that? response:	I was just letting everyone else have their time in the sun, you see?
context: Do a victory pose!\Yay!\Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that?\I was just letting everyone else have their time in the sun, you see? response:	Yeah, thanks a bunch for that.
context: Yay!\Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that?\I was just letting everyone else have their time in the sun, you see?\Yeah, thanks a bunch for that. response:	Next time: Dead-End of Despair.
context: Please, no more...\Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that?\I was just letting everyone else have their time in the sun, you see?\Yeah, thanks a bunch for that.\Next time: Dead-End of Despair. response:	Just so you know, I haven't even gotten serious yet!
context: Natsu, I'm through... I can't move any more.\Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that?\I was just letting everyone else have their time in the sun, you see?\Yeah, thanks a bunch for that.\Next time: Dead-End of Despair.\Just so you know, I haven't even gotten serious yet! response:	I'm really, totally awesome!
context: Suck it up, Happy!\You're gonna retire before doing anything the slightest bit productive? That's so lame.\You just have a knack for drilling a hole right into the heart, you know that?\I was just letting everyone else have their time in the sun, you see?\Yeah, thanks a bunch for that.\Next time: Dead-End of Despair.\Just so you know, I haven't even gotten serious yet!\I'm really, totally awesome! response:	Sure, fine, hurry up and be awesome then.
