context: Onii-chan! response:	Come on, how long are you going to stay in bed?
context: You said to ask you if there's anything I need help with!\I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective. response:	Half a day ago I didn't even know this sort of game existed!
context: I was talking about keeping this a secret from Dad!\Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed! response:	Isn't throwing me into a situation like this is a bit much?
context: Why do you need me to play through an eroge with you?\Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much? response:	So you're making fun of me after all.
context: Y-You just need to!\I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all. response:	You're all talk in the end.
context: I want someone to give me an objective viewpoint of this game!\I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end. response:	You're prejudiced against this hobby!
context: I want an actual opinion.\How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby! response:	That's not it!
context: How can I be objective about this?!\Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby!\That's not it! response:	This is just awkward!
context: Come on, look at it from my perspective.\Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby!\That's not it!\This is just awkward! response:	It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!
context: Half a day ago I didn't even know this sort of game existed!\Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby!\That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene! response:	That's what it's like!
context: Isn't throwing me into a situation like this is a bit much?\So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby!\That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like! response:	What? You're not making any sense.
context: So you're making fun of me after all.\You're all talk in the end.\You're prejudiced against this hobby!\That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense. response:	This is an R-18 game, right?
context: You're all talk in the end.\You're prejudiced against this hobby!\That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense.\This is an R-18 game, right? response:	Those kinds of scenes are going to happen, right?
context: You're prejudiced against this hobby!\That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right? response:	Are you really okay with watching a scene where a brother and sister do that kind of thing with me?
context: That's not it!\This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me? response:	Gross!!
context: This is just awkward!\It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!! response:	Idiot!
context: It's like sitting together in the living room watching a drama and it suddenly gets to a kissing scene!\That's what it's like!\What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot! response:	Pervert!
context: That's what it's like!\What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot!\Pervert! response:	Why are you actually thinking of that kind of thing?
context: What? You're not making any sense.\This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot!\Pervert!\Why are you actually thinking of that kind of thing? response:	It'd be more of a problem if I weren't!!
context: This is an R-18 game, right?\Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot!\Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!! response:	Fine.
context: Those kinds of scenes are going to happen, right?\Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot!\Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine. response:	I'll take out the all-ages version just for you then.
context: Are you really okay with watching a scene where a brother and sister do that kind of thing with me?\Gross!!\Idiot!\Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then. response:	You should have taken that out from the start!
context: Gross!!\Idiot!\Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start! response:	And you really don't get it!
context: Idiot!\Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it! response:	You can only fully appreciate the story if you play the original release, though.
context: Pervert!\Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though. response:	If you want to talk about that stuff, ask your friends.
context: Why are you actually thinking of that kind of thing?\It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends. response:	Stop blabbing and take it.
context: It'd be more of a problem if I weren't!!\Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it. response:	It's pretty late already, you know...
context: Fine.\I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know... response:	How about you lend me your laptop?
context: I'll take out the all-ages version just for you then.\You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop? response:	Then I'll play the R-18 version when I have some free time.
context: You should have taken that out from the start!\And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time. response:	Well, if you insist...
context: And you really don't get it!\You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist... response:	This is your homework then.
context: You can only fully appreciate the story if you play the original release, though.\If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then. response:	Clear this before next week.
context: If you want to talk about that stuff, ask your friends.\Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then.\Clear this before next week. response:	Yeah, yeah.
context: Stop blabbing and take it.\It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then.\Clear this before next week.\Yeah, yeah. response:	Onii-chan!
context: It's pretty late already, you know...\How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then.\Clear this before next week.\Yeah, yeah.\Onii-chan! response:	Let's play again!
context: How about you lend me your laptop?\Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then.\Clear this before next week.\Yeah, yeah.\Onii-chan!\Let's play again! response:	Bye bye!
context: Then I'll play the R-18 version when I have some free time.\Well, if you insist...\This is your homework then.\Clear this before next week.\Yeah, yeah.\Onii-chan!\Let's play again!\Bye bye! response:	There's No Way I'd Go to an IRL Meetup with My Sister
context: Well, if you insist...\This is your homework then.\Clear this before next week.\Yeah, yeah.\Onii-chan!\Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister response:	TS
context: This is your homework then.\Clear this before next week.\Yeah, yeah.\Onii-chan!\Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS response:	Mazui Presents
context: Clear this before next week.\Yeah, yeah.\Onii-chan!\Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents response:	There's No Way I Could Love My Sister
context: Yeah, yeah.\Onii-chan!\Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents\There's No Way I Could Love My Sister response:	There's No Way I'd Go to an 0000 IRL Meetup with My Sister
context: Onii-chan!\Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister response:	Game start
context: Let's play again!\Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start response:	Kyousuke
context: Bye bye!\There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke response:	W ha... Sh-Shiori...?
context: There's No Way I'd Go to an IRL Meetup with My Sister\TS\Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke\W ha... Sh-Shiori...? response:	Wh a... Sh-Shiori...?
context: TS\Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...? response:	Wha... Sh-Shiori...?
context: Mazui Presents\There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...? response:	Wha... Sh-Shiori...?
context: There's No Way I Could Love My Sister\There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...? response:	Wha... Sh-Shiori...?
context: There's No Way I'd Go to an 0000 IRL Meetup with My Sister\Game start\Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...? response:	Wha... Sh-Shiori...?
context: Game start\Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...? response:	Wha... Sh -Shiori...?
context: Kyousuke\W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...? response:	Wha... Sh- Shiori...?
context: W ha... Sh-Shiori...?\Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...? response:	Wha... Sh-Shi ori...?
context: Wh a... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...? response:	Wha... Sh-Shio ri...?
context: Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...? response:	Wha... Sh-Shiori...?
context: Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...? response:	Wha... Sh-Shiori....?
context: Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....? response:	Wha... Sh-Shiori.....?
context: Wha... Sh-Shiori...?\Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....? response:	Wha... Sh-Shiori......?
context: Wha... Sh -Shiori...?\Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......? response:	Wha... Sh-Shiori.....?
context: Wha... Sh- Shiori...?\Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....? response:	Wha... Sh-Shiori....?
context: Wha... Sh-Shi ori...?\Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....? response:	Wha... Sh-Shiori...?
context: Wha... Sh-Shio ri...?\Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...? response:	Wha... Sh-Shiori...?
context: Wha... Sh-Shiori...?\Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...? response:	Shiori is sleeping next to me. I...
context: Wha... Sh-Shiori....?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I... response:	Shi ori is sleeping next to me. I...
context: Wha... Sh-Shiori.....?\Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I... response:	Shio ri is sleeping next to me. I...
context: Wha... Sh-Shiori......?\Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Wha... Sh-Shiori.....?\Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Wha... Sh-Shiori....?\Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is s leeping next to me. I...
context: Wha... Sh-Shiori...?\Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I... response:	Shiori is slee ping next to me. I...
context: Wha... Sh-Shiori...?\Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is sleeping next to me. I...\Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping ne xt to me. I...
context: Shi ori is sleeping next to me. I...\Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I... response:	Shiori is sleeping next to me. I...
context: Shio ri is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is sleeping next to me. I...\Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is s leeping next to me. I...\Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is slee ping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is sleeping next to me. I...\Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Shiori is sleeping next to me. I...
context: Shiori is sleeping ne xt to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I... response:	Options
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options response:	Hug her gently and closely
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options\Hug her gently and closely response:	Slip out of bed without waking her up
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options\Hug her gently and closely\Slip out of bed without waking her up response:	Screw that, kick her out of my bed!
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options\Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed! response:	What the hell are you doing?!
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options\Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?! response:	Kyousuke
context: Shiori is sleeping next to me. I...\Shiori is sleeping next to me. I...\Options\Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke response:	Wh at the hell are you doing?!
context: Shiori is sleeping next to me. I...\Options\Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?! response:	What the hell are you doing?!
context: Options\Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?! response:	What t he hell are you doing?!
context: Hug her gently and closely\Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?! response:	What th e hell are you doing?!
context: Slip out of bed without waking her up\Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?! response:	What the hell are you doing?!
context: Screw that, kick her out of my bed!\What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?! response:	What the he ll are you doing?!
context: What the hell are you doing?!\Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?! response:	What the hel l are you doing?!
context: Kyousuke\Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?! response:	What the hell are you doing?!
context: Wh at the hell are you doing?!\What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?! response:	What the hell are you doing?!
context: What the hell are you doing?!\What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?! response:	What the hell are you doing?!
context: What t he hell are you doing?!\What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?! response:	What the hell are you do ing?!
context: What th e hell are you doing?!\What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?! response:	What the hell are you doin g?!
context: What the hell are you doing?!\What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?!\What the hell are you doin g?! response:	What the hell are you doing?!
context: What the he ll are you doing?!\What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?!\What the hell are you doin g?!\What the hell are you doing?! response:	What the hell are you doing?!
context: What the hel l are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?!\What the hell are you doin g?!\What the hell are you doing?!\What the hell are you doing?! response:	What the hell are you doing?!
context: What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?!\What the hell are you doin g?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?! response:	Exit the game?
context: What the hell are you doing?!\What the hell are you doing?!\What the hell are you do ing?!\What the hell are you doin g?!\What the hell are you doing?!\What the hell are you doing?!\What the hell are you doing?!\Exit the game? response:	Exit the game?
