context: Once upon a time, there was a maiden in love. response:	I want to tell my beloved how I feel, but my love might be over the moment I say it.
context: But if that's truly a precious feeling, throwing it away would be cruel.\I don't want you to hide that feeling behind your back, I want you to tell him about it.\If... If I were allowed, I would also...\If I were allowed...\Begone from inside me, Raven!\That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right. response:	The feeling that's grown to the bursting point inside you, that's real love.
context: I don't want you to hide that feeling behind your back, I want you to tell him about it.\If... If I were allowed, I would also...\If I were allowed...\Begone from inside me, Raven!\That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love. response:	That's right, what you're seeking is false love!
context: If... If I were allowed, I would also...\If I were allowed...\Begone from inside me, Raven!\That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love! response:	It's counterfeit love!
context: If I were allowed...\Begone from inside me, Raven!\That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love! response:	Shut up! What is this real love?!
context: Begone from inside me, Raven!\That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?! response:	If this love is false, then all the love in this world is false love!
context: That's right, I... I haven't told Lysander anything!\I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love! response:	Hermia-san!
context: I've told nothing of my feelings...\That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san! response:	Lysander...
context: That's right.\The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander... response:	I found Duck's lovey-dovey zura!
context: The feeling that's grown to the bursting point inside you, that's real love.\That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander...\I found Duck's lovey-dovey zura! response:	Yes?
context: That's right, what you're seeking is false love!\It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander...\I found Duck's lovey-dovey zura!\Yes? response:	Um, um, Lysander, you might be surprised at me saying this out of the blue, but...
context: It's counterfeit love!\Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander...\I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but... response:	Lysander, I...
context: Shut up! What is this real love?!\If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander...\I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I... response:	Love you.
context: If this love is false, then all the love in this world is false love!\Hermia-san!\Lysander...\I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you. response:	Could that be...
context: Hermia-san!\Lysander...\I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you.\Could that be... response:	I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!
context: Lysander...\I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you! response:	Hey.
context: I found Duck's lovey-dovey zura!\Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey. response:	What?
context: Yes?\Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What? response:	Yesterday, Uzura brought this to me.
context: Um, um, Lysander, you might be surprised at me saying this out of the blue, but...\Lysander, I...\Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What?\Yesterday, Uzura brought this to me. response:	I didn't write it! Pike and Lilie wrote it! So, what should I say...
context: Lysander, I...\Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say... response:	I'm sorry...
context: Love you.\Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry... response:	Don't waste time doing stupid stuff, idiot.
context: Could that be...\I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot. response:	I knew it.
context: I made you my model without asking you because, you see, I thought when I finished it I'd confess my love to you!\Hey.\What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it. response:	Real love? Don't make me laugh.
context: Hey.\What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh. response:	Everyone just wants to BE loved, that's all!
context: What?\Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all! response:	My poor prince.
context: Yesterday, Uzura brought this to me.\I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince. response:	I'm sure Father's blood will save you from your suffering soon.
context: I didn't write it! Pike and Lilie wrote it! So, what should I say...\I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon. response:	That's right, we have to capture a sacrifice.
context: I'm sorry...\Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice. response:	Yes. For our own sakes too.
context: Don't waste time doing stupid stuff, idiot.\I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too. response:	This isn't for you.
context: I knew it.\Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you. response:	I'm just going to feed the foolish raven a meal, that's all.
context: Real love? Don't make me laugh.\Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all. response:	As a little token of my thanks for awakening me.
context: Everyone just wants to BE loved, that's all!\My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me. response:	That's right, this was the story of the prince and the raven, wasn't it?
context: My poor prince.\I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it? response:	In other words, the fight began a long, long time ago.
context: I'm sure Father's blood will save you from your suffering soon.\That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago. response:	You haven't forgotten that, have you, Little Duck?
context: That's right, we have to capture a sacrifice.\Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck? response:	Who is this woman who can take the bite out of Fakir-sama?!
context: Yes. For our own sakes too.\This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?! response:	An older-woman lover has made her appearance, huh!
context: This isn't for you.\I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh! response:	The stories that boy wrote sometimes came true.
context: I'm just going to feed the foolish raven a meal, that's all.\As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true. response:	I'll protect Mytho as a knight. I won't take orders from you!
context: As a little token of my thanks for awakening me.\That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you! response:	And it was starting to look like we'd be able to work together too...
context: That's right, this was the story of the prince and the raven, wasn't it?\In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too... response:	I don't like this.
context: In other words, the fight began a long, long time ago.\You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this. response:	Mytho! I won't allow you to hurt Raetsel!
context: You haven't forgotten that, have you, Little Duck?\Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel! response:	Stop! The two of you fighting is...
context: Who is this woman who can take the bite out of Fakir-sama?!\An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is... response:	You know you can't lay a finger on me!
context: An older-woman lover has made her appearance, huh!\The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me! response:	The Forgotten Story
context: The stories that boy wrote sometimes came true.\I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story response:	All you children who love stories, come gather around.
context: I'll protect Mytho as a knight. I won't take orders from you!\And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around. response:	The voice calling, come now, wake up
context: And it was starting to look like we'd be able to work together too...\I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up response:	Wiping a tearstained face
context: I don't like this.\Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face response:	The brilliant light and the dew on trees are born
context: Mytho! I won't allow you to hurt Raetsel!\Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born response:	By the secret water's edge that no one knows of
context: Stop! The two of you fighting is...\You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of response:	Dance the pas de deux of life
context: You know you can't lay a finger on me!\The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life response:	Dreaming again today
context: The Forgotten Story\All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today response:	It is a gentle, yet fierce current
context: All you children who love stories, come gather around.\The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current response:	How far does the labyrinth stretch?
context: The voice calling, come now, wake up\Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch? response:	I shall go
context: Wiping a tearstained face\The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go response:	The dream I hold tight
context: The brilliant light and the dew on trees are born\By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight response:	I loved like I was dreaming
context: By the secret water's edge that no one knows of\Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming response:	It swells... My heart swells
context: Dance the pas de deux of life\Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells response:	I thought how wonderful it was to be alive
context: Dreaming again today\It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive response:	I can't wait for tomorrow
context: It is a gentle, yet fierce current\How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow response:	I want to be there for you
context: How far does the labyrinth stretch?\I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you response:	At all times
context: I shall go\The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times response:	Wait, it won't wait
context: The dream I hold tight\I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait response:	Running, running along
context: I loved like I was dreaming\It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along response:	Passing by even the wind and the rain clouds
context: It swells... My heart swells\I thought how wonderful it was to be alive\I can't wait for tomorrow\I want to be there for you\At all times\Wait, it won't wait\Running, running along\Passing by even the wind and the rain clouds response:	Just beating my own wings
