context: The next time I fall in love, response:	I'd prefer a guy who's a bit coldhearted.
context: I cannot believe something like this is happening to a commoner like me!\It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat. response:	I want Takumi's autograph! Nana, you liar!
context: It's not addressed to me, but can I read it?\Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar! response:	Listen. If Ren's dropping by your place,
context: Even if I shouldn't, I wanna read it.\I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place, response:	why not have the mahjongg tournament there?
context: I'll read it!\A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there? response:	My place is too small for a large number of people.
context: A message for Nana Apparently we're playing at Nobu's place on the night of the 7th. I'm free during the day, so can I come by your place?\Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people. response:	I agree!
context: Yes, please come, darling.\That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree! response:	That's fine, but we don't have a mahjongg table.
context: That's the reply I gave. Where's my treat?\Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table. response:	I don't either. Just put a cloth over the table.
context: Don't reply on my behalf! You're not getting a treat.\I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table. response:	The table by the window? But if we play sitting beside each other,
context: I want Takumi's autograph! Nana, you liar!\Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other, response:	it won't be much of a match with everything visible to others.
context: Listen. If Ren's dropping by your place,\why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others. response:	We'll move the table, and sit around it.
context: why not have the mahjongg tournament there?\My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it. response:	- Don't smoke! - Oops!
context: My place is too small for a large number of people.\I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops! response:	I can't wait!
context: I agree!\That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait! response:	MAHJONGG TOURNAMENT
context: That's fine, but we don't have a mahjongg table.\I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT response:	MAHJONGG TOURNAMENT The seventh can't come soon enough.
context: I don't either. Just put a cloth over the table.\The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough. response:	Trapnest's Ren is coming to our place. Should I ask for his autograph?
context: The table by the window? But if we play sitting beside each other,\it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph? response:	If possible, we could have a picture taken together?
context: it won't be much of a match with everything visible to others.\We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together? response:	What should I wear?
context: We'll move the table, and sit around it.\- Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear? response:	Should I buy that dress I wanted?
context: - Don't smoke! - Oops!\I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted? response:	I should make an appointment with the hairdresser too.
context: I can't wait!\MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too. response:	And I'll prepare a bunch of food.
context: MAHJONGG TOURNAMENT\MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food. response:	What should I make?
context: MAHJONGG TOURNAMENT The seventh can't come soon enough.\Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make? response:	I should start preparing the night before.
context: Trapnest's Ren is coming to our place. Should I ask for his autograph?\If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before. response:	I'll get up early to clean up,
context: If possible, we could have a picture taken together?\What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before.\I'll get up early to clean up, response:	and go to the flower shop so I can decorate the place with flowers...
context: What should I wear?\Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers... response:	Chief, I'm expecting an important guest tomorrow.
context: Should I buy that dress I wanted?\I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow. response:	May I take the day off from work?
context: I should make an appointment with the hairdresser too.\And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work? response:	Of course not!
context: And I'll prepare a bunch of food.\What should I make?\I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not! response:	Thirty minutes before I get off work.
context: What should I make?\I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not!\Thirty minutes before I get off work. response:	It's about time people start arriving.
context: I should start preparing the night before.\I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not!\Thirty minutes before I get off work.\It's about time people start arriving. response:	Oh, I wanna hurry back home and see Ren.
context: I'll get up early to clean up,\and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not!\Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren. response:	That's right. I should buy some paper for autograph paper on my way home.
context: and go to the flower shop so I can decorate the place with flowers...\Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not!\Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home. response:	Please fire that girl, Chief!
context: Chief, I'm expecting an important guest tomorrow.\May I take the day off from work?\Of course not!\Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief! response:	Nana-chin, make copies of this. Huh?
context: May I take the day off from work?\Of course not!\Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh? response:	Miss Komatsu has left for the day.
context: Of course not!\Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day. response:	She left early?
context: Thirty minutes before I get off work.\It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early? response:	We should fire her!
context: It's about time people start arriving.\Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early?\We should fire her! response:	I guess you're right.
context: Oh, I wanna hurry back home and see Ren.\That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early?\We should fire her!\I guess you're right. response:	You know, you're really strong.
context: That's right. I should buy some paper for autograph paper on my way home.\Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early?\We should fire her!\I guess you're right.\You know, you're really strong. response:	Could you be a little easier on me?
context: Please fire that girl, Chief!\Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early?\We should fire her!\I guess you're right.\You know, you're really strong.\Could you be a little easier on me? response:	But I am.
context: Nana-chin, make copies of this. Huh?\Miss Komatsu has left for the day.\She left early?\We should fire her!\I guess you're right.\You know, you're really strong.\Could you be a little easier on me?\But I am. response:	Shin, you're being obnoxious.
context: Miss Komatsu has left for the day.\She left early?\We should fire her!\I guess you're right.\You know, you're really strong.\Could you be a little easier on me?\But I am.\Shin, you're being obnoxious. response:	I said, don't smoke!
context: She left early?\We should fire her!\I guess you're right.\You know, you're really strong.\Could you be a little easier on me?\But I am.\Shin, you're being obnoxious.\I said, don't smoke! response:	But Ren's smoking. So, it's okay for your own man to smoke.
context: We should fire her!\I guess you're right.\You know, you're really strong.\Could you be a little easier on me?\But I am.\Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke. response:	You're a typical woman after all, Nana.
context: I guess you're right.\You know, you're really strong.\Could you be a little easier on me?\But I am.\Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana. response:	Don't you know there is a law that says it's illegal for minors to smoke?!
context: You know, you're really strong.\Could you be a little easier on me?\But I am.\Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?! response:	But you had been smoking ever since you were a minor.
context: Could you be a little easier on me?\But I am.\Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor. response:	So what's this about no smoking now?
context: But I am.\Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now? response:	Those around you are bothered by it.
context: Shin, you're being obnoxious.\I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it. response:	I don't think it makes any difference. There are many vocalists who smoke.
context: I said, don't smoke!\But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke. response:	What you should do instead is take some singing lessons?
context: But Ren's smoking. So, it's okay for your own man to smoke.\You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons? response:	Shut up! I don't need you giving me advice!
context: You're a typical woman after all, Nana.\Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice! response:	Oh, could that be Hachi?
context: Don't you know there is a law that says it's illegal for minors to smoke?!\But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi? response:	It could be Hachi.
context: But you had been smoking ever since you were a minor.\So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi. response:	Off you go.
context: So what's this about no smoking now?\Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi.\Off you go. response:	Hey, it's not Hachi. It's Nana.
context: Those around you are bothered by it.\I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana. response:	You're right.
context: I don't think it makes any difference. There are many vocalists who smoke.\What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana.\You're right. response:	How should I greet him?
context: What you should do instead is take some singing lessons?\Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him? response:	Pleased to meet you, I'm Nana.
context: Shut up! I don't need you giving me advice!\Oh, could that be Hachi?\It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him?\Pleased to meet you, I'm Nana. response:	No. I'm Komatsu.
context: Oh, could that be Hachi?\It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu. response:	I've been a big fan since Trapnest's debut!
context: It could be Hachi.\Off you go.\Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut! response:	Say, Nana...
context: Off you go.\Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana... response:	I made her cry. What should I do?
context: Hey, it's not Hachi. It's Nana.\You're right.\How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do? response:	That time, the reason my tears suddenly came flowing out
context: You're right.\How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out response:	was because I knew right away
context: How should I greet him?\Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away response:	that the dreamlike incident was a treat you had arranged for me, Nana.
context: Pleased to meet you, I'm Nana.\No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana. response:	I felt more love than being thanked a million times.
context: No. I'm Komatsu.\I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times. response:	And that made me really happy.
context: I've been a big fan since Trapnest's debut!\Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy. response:	I reached into the sky
context: Say, Nana...\I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky response:	But I couldn't reach what I wanted
context: I made her cry. What should I do?\That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted response:	They grew smaller and disappeared into the sky
context: That time, the reason my tears suddenly came flowing out\was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky response:	Like colorful balloons
context: was because I knew right away\that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons response:	I'm alone
context: that the dreamlike incident was a treat you had arranged for me, Nana.\I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone response:	My hand had no place to go
context: I felt more love than being thanked a million times.\And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go response:	And gently you took it
context: And that made me really happy.\I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it response:	Starless night
context: I reached into the sky\But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night response:	I won't look back at the shadow of my past
context: But I couldn't reach what I wanted\They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past response:	I want to feel your warmth
context: They grew smaller and disappeared into the sky\Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth response:	Tears are falling down
context: Like colorful balloons\I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down response:	Even if I'm unsure I won't let go
context: I'm alone\My hand had no place to go\And gently you took it\Starless night\I won't look back at the shadow of my past\I want to feel your warmth\Tears are falling down\Even if I'm unsure I won't let go response:	Of your hand holding mine
