context: A tall, tall wall looms in front of me. response:	What's the view on the other side?
context: Hey, stop!\4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun! response:	Waka-kun!
context: 4, Libero, Nishinoya Yu.\Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun! response:	4, Ohira Leon.
context: Yeah!\Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun!\4, Ohira Leon. response:	5, Tendo Satori.
context: Coach, Takeda Ittetsu.\Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun!\4, Ohira Leon.\5, Tendo Satori. response:	Yay!
context: Next, we will introduce\the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun!\4, Ohira Leon.\5, Tendo Satori.\Yay! response:	8, Goshiki Tsutomu.
context: the Shiratorizawa Academy starting lineup.\1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun!\4, Ohira Leon.\5, Tendo Satori.\Yay!\8, Goshiki Tsutomu. response:	10, Shirabu Kenjiro.
context: 1, Ushijima Wakatoshi.\Ushijima-kun!\Waka-kun!\4, Ohira Leon.\5, Tendo Satori.\Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro. response:	12, Kawanishi Taichi.
context: Ushijima-kun!\Waka-kun!\4, Ohira Leon.\5, Tendo Satori.\Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi. response:	14, Libero, Yamagata Hayato.
context: Waka-kun!\4, Ohira Leon.\5, Tendo Satori.\Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato. response:	Yeah!
context: 4, Ohira Leon.\5, Tendo Satori.\Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah! response:	Coach, Washijo Tanji.
context: 5, Tendo Satori.\Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji. response:	Ladies and gentlemen,
context: Yay!\8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen, response:	please cheer on both teams and wish them the best.
context: 8, Goshiki Tsutomu.\10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best. response:	I'm totally starting to feel their nerves.
context: 10, Shirabu Kenjiro.\12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves. response:	I thought they were doing okay when I saw
context: 12, Kawanishi Taichi.\14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw response:	the one shot Hinata took after their warmups.
context: 14, Libero, Yamagata Hayato.\Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups. response:	This is a path they've gone down many times.
context: Yeah!\Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times. response:	On the other hand, our guys are facing their first finals,
context: Coach, Washijo Tanji.\Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals, response:	and their first center court.
context: Ladies and gentlemen,\please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court. response:	You can't blame them for being nervous.
context: please cheer on both teams and wish them the best.\I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous. response:	Since it's their first finals, is this their first five-set match, too?
context: I'm totally starting to feel their nerves.\I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too? response:	Five sets?
context: I thought they were doing okay when I saw\the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets? response:	Up until now, they played three-set matches and whoever got two sets first won.
context: the one shot Hinata took after their warmups.\This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won. response:	In the finals, they play a five-set match and whoever gets three sets first wins,
context: This is a path they've gone down many times.\On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins, response:	just like the top-level games you see on TV.
context: On the other hand, our guys are facing their first finals,\and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV. response:	What?! That's gonna be super tiring!
context: and their first center court.\You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring! response:	Yeah...
context: You can't blame them for being nervous.\Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah... response:	I'm worried about their stamina.
context: Since it's their first finals, is this their first five-set match, too?\Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina. response:	We can't be the ones who are down!
context: Five sets?\Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina.\We can't be the ones who are down! response:	This is a different start than usual.
context: Up until now, they played three-set matches and whoever got two sets first won.\In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual. response:	All right, let's go!
context: In the finals, they play a five-set match and whoever gets three sets first wins,\just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual.\All right, let's go! response:	They usually start with a strong server or Hinata on the front line.
context: just like the top-level games you see on TV.\What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line. response:	Aren't they going to try to match up
context: What?! That's gonna be super tiring!\Yeah...\I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up response:	the highest wall possible against Ushijima?
context: Yeah...\I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima? response:	They'll have to see how they handle their serves, too.
context: I'm worried about their stamina.\We can't be the ones who are down!\This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too. response:	Shiratorizawa Karasuno
context: We can't be the ones who are down!\This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno response:	Bring it!
context: This is a different start than usual.\All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it! response:	and couldn't even stay in the prefectural finals mean nothing to me.
context: All right, let's go!\They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me. response:	Daichi-san, nice serve!
context: They usually start with a strong server or Hinata on the front line.\Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve! response:	Got it!
context: Aren't they going to try to match up\the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it! response:	Ushijima-san!
context: the highest wall possible against Ushijima?\They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it!\Ushijima-san! response:	It's coming!
context: They'll have to see how they handle their serves, too.\Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it!\Ushijima-san!\It's coming! response:	I got it.
context: Shiratorizawa Karasuno\Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it!\Ushijima-san!\It's coming!\I got it. response:	Be Courageous Warriors
context: Bring it!\and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it!\Ushijima-san!\It's coming!\I got it.\Be Courageous Warriors response:	Nice kill, Ushijima!
context: and couldn't even stay in the prefectural finals mean nothing to me.\Daichi-san, nice serve!\Got it!\Ushijima-san!\It's coming!\I got it.\Be Courageous Warriors\Nice kill, Ushijima! response:	Ushijima! Ushijima!
context: Daichi-san, nice serve!\Got it!\Ushijima-san!\It's coming!\I got it.\Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima! response:	Don't mind!
context: Got it!\Ushijima-san!\It's coming!\I got it.\Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind! response:	Next, next!
context: Ushijima-san!\It's coming!\I got it.\Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind!\Next, next! response:	Shiratorizawa Karasuno
context: It's coming!\I got it.\Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind!\Next, next!\Shiratorizawa Karasuno response:	Well hello, Left.
context: I got it.\Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind!\Next, next!\Shiratorizawa Karasuno\Well hello, Left. response:	So, what's up with your disguise?
context: Be Courageous Warriors\Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind!\Next, next!\Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise? response:	A cap and huge sunglasses are like the classic disguise!
context: Nice kill, Ushijima!\Ushijima! Ushijima!\Don't mind!\Next, next!\Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise?\A cap and huge sunglasses are like the classic disguise! response:	Oh, yeah. Kageyama-kun had a similar disguise before.
context: Ushijima! Ushijima!\Don't mind!\Next, next!\Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise?\A cap and huge sunglasses are like the classic disguise!\Oh, yeah. Kageyama-kun had a similar disguise before. response:	See?
context: Don't mind!\Next, next!\Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise?\A cap and huge sunglasses are like the classic disguise!\Oh, yeah. Kageyama-kun had a similar disguise before.\See? response:	That just means you're both equally simpleminded...
context: Next, next!\Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise?\A cap and huge sunglasses are like the classic disguise!\Oh, yeah. Kageyama-kun had a similar disguise before.\See?\That just means you're both equally simpleminded... response:	Episode 02: The Threat of Left
context: Shiratorizawa Karasuno\Well hello, Left.\So, what's up with your disguise?\A cap and huge sunglasses are like the classic disguise!\Oh, yeah. Kageyama-kun had a similar disguise before.\See?\That just means you're both equally simpleminded...\Episode 02: The Threat of Left response:	Next time on Haikyu!! : The Threat of the Left.
