context: Distant Thunder (Part 2) response:	Isn't that a downer?
context: Stand up. Come on.\Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh response:	All this time, I've never helped with chores, saying I needed to focus on shogi.
context: Yeah.\Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi. response:	If I quit now, I know exactly how my family will take their revenge!
context: Hey. Would you help me convince my wife and daughter?\That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge! response:	What? That's the reason?
context: That I've decided not to retire after all.\They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason? response:	My blood runs cold just thinking about it!
context: They must be worried about you.\Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it! response:	So from now on, you're doing your share of the housework.
context: Shogi players do need physical strength.\I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework. response:	I can't wait to train you!
context: I don't want to quit. If I do quit...\Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you! response:	Heeheehee!
context: Sigh\All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee! response:	Dad, give Kou a bath!
context: All this time, I've never helped with chores, saying I needed to focus on shogi.\If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee!\Dad, give Kou a bath! response:	Heeheehee
context: If I quit now, I know exactly how my family will take their revenge!\What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee!\Dad, give Kou a bath!\Heeheehee response:	Gaga
context: What? That's the reason?\My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee!\Dad, give Kou a bath!\Heeheehee\Gaga response:	The horror! They'll make me wash dishes and my grandson, too!
context: My blood runs cold just thinking about it!\So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee!\Dad, give Kou a bath!\Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too! response:	Let's wash them! Both! Don't wait until you retire.
context: So from now on, you're doing your share of the housework.\I can't wait to train you!\Heeheehee!\Dad, give Kou a bath!\Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire. response:	I don't wanna!
context: I can't wait to train you!\Heeheehee!\Dad, give Kou a bath!\Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna! response:	Don't say I don't wanna! Family members should help each other!
context: Heeheehee!\Dad, give Kou a bath!\Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other! response:	You want me to teach you how to do chores?
context: Dad, give Kou a bath!\Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores? response:	I don't wanna! I don't wanna! I don't wanna!
context: Heeheehee\Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna! response:	No matter what anyone says, I definitely
context: Gaga\The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely response:	don't wanna!
context: The horror! They'll make me wash dishes and my grandson, too!\Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna! response:	Distant Thunder (Part 3)
context: Let's wash them! Both! Don't wait until you retire.\I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3) response:	Next Episode Preview
context: I don't wanna!\Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3)\Next Episode Preview response:	Episode 10
context: Don't say I don't wanna! Family members should help each other!\You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3)\Next Episode Preview\Episode 10 response:	When did it start?
context: You want me to teach you how to do chores?\I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3)\Next Episode Preview\Episode 10\When did it start? response:	When did Christmas become painful for me?
context: I don't wanna! I don't wanna! I don't wanna!\No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3)\Next Episode Preview\Episode 10\When did it start?\When did Christmas become painful for me? response:	Hey, Dad, can I open it now?
context: No matter what anyone says, I definitely\don't wanna!\Distant Thunder (Part 3)\Next Episode Preview\Episode 10\When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now? response:	A Game Bomb!
context: don't wanna!\Distant Thunder (Part 3)\Next Episode Preview\Episode 10\When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now?\A Game Bomb! response:	What do you think, Rei?
context: Distant Thunder (Part 3)\Next Episode Preview\Episode 10\When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now?\A Game Bomb!\What do you think, Rei? response:	I'm really happy.
context: Next Episode Preview\Episode 10\When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now?\A Game Bomb!\What do you think, Rei?\I'm really happy. response:	I wonder which would be more fitting for their last Christmas together.
context: Episode 10\When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now?\A Game Bomb!\What do you think, Rei?\I'm really happy.\I wonder which would be more fitting for their last Christmas together. response:	March Comes in Like a Lion.
context: When did it start?\When did Christmas become painful for me?\Hey, Dad, can I open it now?\A Game Bomb!\What do you think, Rei?\I'm really happy.\I wonder which would be more fitting for their last Christmas together.\March Comes in Like a Lion. response:	You won't watch it next time? Excuse me? That's impossible.
