context: Wh-what?! response:	That's my secret technique, the Sweets Canyon!
context: Reckon she's like a princess and all!\You are Umaru Doma, yes? I heard you took the top spot in the entrance exams.\Um, I don't know if I was at the top or not...\You will now challenge me, please!\Huh?\So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends... response:	Ebina?
context: You are Umaru Doma, yes? I heard you took the top spot in the entrance exams.\Um, I don't know if I was at the top or not...\You will now challenge me, please!\Huh?\So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina? response:	Huh? Um, what?
context: Um, I don't know if I was at the top or not...\You will now challenge me, please!\Huh?\So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what? response:	You okay? It looked like you were spacing out.
context: You will now challenge me, please!\Huh?\So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out. response:	Ah! I'm so sorry!
context: Huh?\So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry! response:	Hm? What is it? What's the matter?
context: So her name's Umaru Doma.\Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter? response:	It's because Sylphin keeps acting all weird.
context: Come now, be quick! It's a challenge! A challenge, indeed!\Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird. response:	So now I am the cause?
context: Wonder if maybe one day me and these girls can be friends...\Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause? response:	It's nothing. Really, it's nothing.
context: Ebina?\Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing. response:	Umaru...
context: Huh? Um, what?\You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing.\Umaru... response:	Hm?
context: You okay? It looked like you were spacing out.\Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing.\Umaru...\Hm? response:	Kirie...
context: Ah! I'm so sorry!\Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing.\Umaru...\Hm?\Kirie... response:	Huh?
context: Hm? What is it? What's the matter?\It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing.\Umaru...\Hm?\Kirie...\Huh? response:	Sylphin...
context: It's because Sylphin keeps acting all weird.\So now I am the cause?\It's nothing. Really, it's nothing.\Umaru...\Hm?\Kirie...\Huh?\Sylphin... response:	Yes?
context: So now I am the cause?\It's nothing. Really, it's nothing.\Umaru...\Hm?\Kirie...\Huh?\Sylphin...\Yes? response:	Let's all study together!
context: It's nothing. Really, it's nothing.\Umaru...\Hm?\Kirie...\Huh?\Sylphin...\Yes?\Let's all study together! response:	Okay!
context: Umaru...\Hm?\Kirie...\Huh?\Sylphin...\Yes?\Let's all study together!\Okay! response:	All right, start your tests.
context: Hm?\Kirie...\Huh?\Sylphin...\Yes?\Let's all study together!\Okay!\All right, start your tests. response:	Even more...
context: Kirie...\Huh?\Sylphin...\Yes?\Let's all study together!\Okay!\All right, start your tests.\Even more... response:	Now and forever...
context: Huh?\Sylphin...\Yes?\Let's all study together!\Okay!\All right, start your tests.\Even more...\Now and forever... response:	I want to be with my friends!
context: Sylphin...\Yes?\Let's all study together!\Okay!\All right, start your tests.\Even more...\Now and forever...\I want to be with my friends! response:	Ebina, let's go home together.
context: Yes?\Let's all study together!\Okay!\All right, start your tests.\Even more...\Now and forever...\I want to be with my friends!\Ebina, let's go home together. response:	Sure!
context: Let's all study together!\Okay!\All right, start your tests.\Even more...\Now and forever...\I want to be with my friends!\Ebina, let's go home together.\Sure! response:	Kirie, I'll race you to that utility pole over there!
context: Okay!\All right, start your tests.\Even more...\Now and forever...\I want to be with my friends!\Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there! response:	Wh-why would I want to do something like that?
context: All right, start your tests.\Even more...\Now and forever...\I want to be with my friends!\Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that? response:	Because seeing who comes first would be a challenge indeed!
context: Even more...\Now and forever...\I want to be with my friends!\Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed! response:	H-how about we all go eat some crepes or something?
context: Now and forever...\I want to be with my friends!\Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something? response:	Thank you for being so welcoming with my sister Hikari.
context: I want to be with my friends!\Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something?\Thank you for being so welcoming with my sister Hikari. response:	No, please, it's nothing.
context: Ebina, let's go home together.\Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something?\Thank you for being so welcoming with my sister Hikari.\No, please, it's nothing. response:	We have yet to spend any proper time together yet, have we?
context: Sure!\Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something?\Thank you for being so welcoming with my sister Hikari.\No, please, it's nothing.\We have yet to spend any proper time together yet, have we? response:	M-maybe we can go have tea or something.
context: Kirie, I'll race you to that utility pole over there!\Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something?\Thank you for being so welcoming with my sister Hikari.\No, please, it's nothing.\We have yet to spend any proper time together yet, have we?\M-maybe we can go have tea or something. response:	Um, s-sure.
context: Wh-why would I want to do something like that?\Because seeing who comes first would be a challenge indeed!\H-how about we all go eat some crepes or something?\Thank you for being so welcoming with my sister Hikari.\No, please, it's nothing.\We have yet to spend any proper time together yet, have we?\M-maybe we can go have tea or something.\Um, s-sure. response:	Awkward...
