context: Let's skip training today. response:	You were hurt pretty badly.
context: At the very least, it is for you. Right, Emiya Shirou?\But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless. response:	Nothing comes of helping others.
context: But salvation by the hands of another is not salvation.\Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others. response:	In the end, you can save neither others nor yourself.
context: Such salvation is like money.\When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself. response:	A lie of a life.
context: When used, it passes into another's hands.\It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life. response:	You're wrong...
context: It's true that you can probably achieve your wish to save others.\But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong... response:	That isn't true.
context: But there's no hope of saving yourself in doing so.\You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong...\That isn't true. response:	You don't have to go to such extremes to help others!
context: You will repeat the cycle until you die, still clinging to ideals that are not your own.\That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong...\That isn't true.\You don't have to go to such extremes to help others! response:	You truly are a foolish child!
context: That is why your ideals are meaningless.\Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong...\That isn't true.\You don't have to go to such extremes to help others!\You truly are a foolish child! response:	You still have no stomach for brutality, do you?
context: Nothing comes of helping others.\In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong...\That isn't true.\You don't have to go to such extremes to help others!\You truly are a foolish child!\You still have no stomach for brutality, do you? response:	I promised myself that I'd fight to stop people like you!
context: In the end, you can save neither others nor yourself.\A lie of a life.\You're wrong...\That isn't true.\You don't have to go to such extremes to help others!\You truly are a foolish child!\You still have no stomach for brutality, do you?\I promised myself that I'd fight to stop people like you! response:	Next Time The Final Decision
context: A lie of a life.\You're wrong...\That isn't true.\You don't have to go to such extremes to help others!\You truly are a foolish child!\You still have no stomach for brutality, do you?\I promised myself that I'd fight to stop people like you!\Next Time The Final Decision response:	Run, Shirou!
